Continent,Location_of_incursion,Date_of_incursion,Year_of_incursion,Month_of_incursion,Species,Animal_details,Ownership_status,Vaccination,Age_class,Breed,Origin_continent,Location_origin_of_animal,Time_bet_incursion_and_symptoms,Type_of_incursion,Borders_crossed,Mode_of_travel,Incursion_details,Full_details,Seen_details,Seen_details1,Phylogenetic_analysis,Public_health_response,Local_transmission,Unusual_cs_transmission,ID_number,Study
Europe,Austria,Oct-01,2001,October,Dog,"Owned, two-month-old puppy",Owned,,3 months and below,,Europe,Serbia,,Human-mediated,International,By land (presumed),"Illegally imported from Belgrade, Serbia to Vienna, Austria and sold to new owners","Owned, two-month-old puppy; illegally imported from Belgrade, Serbia to Vienna, Austria and sold to new owners",Illegally imported and sold to new owners,"Owned, two-month-old puppy; illegally imported from Belgrade, Serbia to Vienna, Austria and sold to new owners",No,"PEP, contact tracing, quarantine of exposed animals (dogs), sacrifice of associated animals (second dog of owners)",No local transmission,No,40,"Office International des Epizooties, 2001 (56); McElhinney et al., 2011 (57)"
Europe,Germany,Nov-01,2001,November,Dog,"Owned (newly adopted),  recently vaccinated 1-month old puppy ",Owned,Recently vaccinated,3 months and below,,Asia,Azerbaijan,2 days,Human-mediated,Intercontinental,By air,"Adopted by worker in Azerbaijan, vaccinated and given health certificate without time for rabies antibodies to develop before importation to Bavaria, Germany","Owned, 1-month-old, recently vaccinated puppy; adopted by worker in Azerbaijan, vaccinated and given health certificate without time for rabies antibodies to develop before importation to Bavaria, Germany",Adopted by worker; vaccinated and given health certificate without time for rabies antibodies to develop before importation,"Owned, 1-month-old, recently vaccinated puppy; adopted by worker in Azerbaijan, vaccinated and given health certificate without time for rabies antibodies to develop before importation to Bavaria, Germany",No,"PEP, contact tracing",No local transmission,No,41,"WHO Collaborating Centre for Rabies Surveillance and Research, 2001 (58); Johnson et al., 2011(15);  Ribadeau-Dumas, 2016 (50); Alvarez et al., 2022 (51)"
Europe,Germany,2001,2001,,Dog,Owned,Owned,,,,Asia,Nepal,,Human-mediated,Intercontinental,By air,Imported from Nepal to Germany,Owned; imported from Nepal to Germany,Imported,Owned; imported,No,,No local transmission,No,42,"Cliquet and Wasniewski, 2018 (28)"
Europe,Austria,Jan-02,2002,January,Fox,,,,,,Europe,Slovenia,,Natural,International (shared border),By land,"Incursion from Slovenia to Carinthia, Austria; caused outbreak resulting in >20 rabid animals","Incursion from Slovenia to Carinthia, Austria; caused outbreak resulting in >20 rabid animals",Caused outbreak resulting in >20 rabid animals,"Incursion into Carinthia, Austria; caused outbreak resulting in >20 rabid animals",No,ORV,Outbreak,No,43,"Potzsch, 2014 (59); Singh et al., 2018 (60)"
Europe,France,2002,2002,,Dog,"Owned, unvaccinated 3-month-old puppy",Owned,Unvaccinated,3 months and below,,Africa,Morocco (via Spain),7 weeks,Human-mediated,Intercontinental,"By land, air/water (presumed)","Illegally imported from Morocco to Seine Saint Denis, France without vaccination certificate ","Owned, unvaccinated 3-month-old puppy; illegally imported from Morocco to Seine Saint Denis, France without vaccination certificate ",Illegally imported without vaccination certificate ,"Owned, unvaccinated 3-month-old puppy; illegally imported to Seine Saint Denis, France without vaccination certificate ",No,PEP,No local transmission,No,44,"WHO Collaborating Centre for Rabies Surveillance and Research, 2001 (58); Lardon, 2010 (61); Johnson et al., 2011 (15); Mailles et al., 2011 (62);  Ribadeau-Dumas, 2016 (50); Alvarez et al., 2022 (51)"
Europe,Switzerland,May-03,2003,May,Dog,"Owned, <1-month old puppy",Owned,,3 months and below,,Africa,Algeria or Morocco,1 month,Human-mediated,Intercontinental,,"Suspected to have been illegally imported from North Africa and abandoned in Nyon, Geneva, Switzerland; found and brought to animal shelter, later adopted","Owned, <1-month old puppy; suspected to have been illegally imported from North Africa and abandoned in Nyon, Geneva, Switzerland; found and brought to animal shelter, later adopted","Suspected to have been illegally imported; found abandoned in Switzerland; and brought to animal shelter, later adopted","Owned, <1-month old puppy; suspected to have been illegally imported and abandoned in Nyon, Geneva, Switzerland; found and brought to animal shelter, later adopted",No,"PEP, vaccination of exposed animals",No local transmission,No,45,"Zanoni and  Breitenmoser, 2003 (63); Johnson et al., 2011 (15);  Ribadeau-Dumas, 2016 (50);"
Europe,Finland,Jun-03,2003,June,Horse,"Owned, unvaccinated 2-year-old",Owned,Unvaccinated,Adult,,Europe,Estonia,1 month,Human-mediated,International,By land/water,"Imported from Estonia to Finland without vaccination, in accordance with local guidelines (rabies vaccination recommended but not required, contrary to OIE standards); was released to pasture with other horses; bit veterinarian during examination","Owned, unvaccinated 2-year-old; imported from Estonia to Finland without vaccination, in accordance with local guidelines (rabies vaccination recommended but not required, contrary to OIE standards); was released to pasture with other horses; bit veterinarian during examination","Imported without vaccination, in accordance with local guidelines (rabies vaccination recommended but not required, contrary to OIE standards); was released to pasture with other horses; bit veterinarian during examination","Owned, unvaccinated 2-year-old; imported without vaccination, in accordance with local guidelines (rabies vaccination recommended but not required, contrary to OIE standards); was released to pasture with other horses; bit veterinarian during examination",No,"PEP (veterinarian), vaccination of exposed animals (horses), quarantine of exposed animals (horses)  ",No local transmission,No,46,"Englund and Pringle, 2003 (64);  Rimhanen-Finne et al., 2009 (65); Metlin et al., 2016 (66); Zoonoosikeskus (Zoonoses Centre), 2012 (67); Dominguez et al., 2016 (68) "
Europe,France,2004,2004,,Dog,"Owned, vaccinated 4-year-old",Owned,Vaccinated,Adult,,Africa,Morocco (via Spain),,Human-mediated,"Intercontinental, International (shared border)","By land, air/water (presumed)","Illegally imported from Morocco via Melilla, Spain to Lorient, France","Owned, vaccinated 4-year-old; illegally imported from Morocco via Melilla, Spain to Lorient, France",Vaccinated; illegally imported,"Owned, vaccinated 4-year-old; illegally imported via Melilla, Spain to Lorient, France",No,PEP,No local transmission,No,47,"Servas et al., 2005 (69); Lardon, 2010 (61); Ribadeau-Dumas, 2016 (50)"
Europe,France,May-04,2004,May,Dog,"Owned, unvaccinated 6-month-old",Owned,Unvaccinated,Juvenile,,Africa,Morocco (via Spain),,Human-mediated,"Intercontinental, International (shared border)","By land, air/water (presumed)","Illegally imported from Morocco via Spain to St. Gery, France","Owned, unvaccinated 6-month-old; illegally imported from Morocco via Spain to St. Gery, France",Unvaccinated; illegally imported,"Owned, unvaccinated 6-month-old; illegally imported via Spain to St. Gery, France",No,"Contact tracing, PEP",No local transmission,No,48,"Servas et al., 2005 (69); Lardon, 2010 (61); Ribadeau-Dumas, 2016 (50)"
Europe,France,Jul-04,2004,July,Dog,"Owned, unvaccinated 4-month-old puppy ",Owned,Unvaccinated,Juvenile,,Africa,Morocco (via Spain),1 month,Human-mediated,"Intercontinental, International (shared border)","By land, air/water (presumed)","Illegally imported from Morocco, brought by owner through Ceuta, Spain, to Gironde, Aquitaine, Bordeaux France in car but allowed to roam unleashed at 3 summer music festivals, exposing >150 humans ","Owned, unvaccinated 4-month-old puppy; Illegally imported from Morocco, brought by owner through Ceuta, Spain, to Gironde, Aquitaine, Bordeaux France in car but allowed to roam unleashed at 3 summer music festivals, exposing >150 humans ","Unvaccinated; Illegally imported via car but allowed to roam unleashed at 3 summer music festivals, exposing >150 humans ","Owned, unvaccinated 4-month-old puppy; Illegally imported, brought by owner through Ceuta, Spain, to Gironde, Aquitaine, Bordeaux France in car but allowed to roam unleashed at 3 summer music festivals, exposing >150 humans ",No,"Culling (free-roaming dogs only) Contact tracing (hotline established), PEP, monitoring of animals",No local transmission,No,49,"Health Protection Agency, 2005 (70); Servas et al., 2005 (69); Lardon, 2010 (61); Ribadeau-Dumas, 2016 (50); Alvarez et al., 2022 (51)"
Europe,France,2004,2004,,Dog,Owned,Owned,,,,Africa,Morocco (via Spain),,Human-mediated,"Intercontinental, International (shared border)","By land (presumed), air/water (presumed)","Illegally imported from Morocco to Gironde, France","Owned; illegally imported from Morocco to Gironde, France",Illegally imported,"Owned; illegally imported to Gironde, France",No,,No local transmission,No,50,"Johnson et al., 2011 (15); Alvarez et al., 2022 (51)"
Europe,France,2004,2004,,Dog,"Owned, 4-year-old",Owned,,Adult,,Africa,Morocco (via Spain),,Human-mediated,"Intercontinental, International (shared border)","By land (presumed), air/water (presumed)","Illegally imported from Morocco to Finistère, France despite lacking pet passport","Owned, 4-year-old; illegally imported from Morocco to Finistère, France despite lacking pet passport",Illegally imported; no pet passport,"Owned, 4-year-old; illegally imported to Finistère, France despite lacking pet passport",No,PEP,No local transmission,No,51,"Johnson et al., 2011 (15); Mailles et al., 2011 (62);  Alvarez et al., 2022 (51)"
Europe,Germany,2004,2004,,Dog,"Owned, unvaccinated 8-month-old ",Owned,Unvaccinated,Juvenile,,Africa,Morocco,27 days,Human-mediated,Intercontinental,By air,"Imported from Morocco without complete travel requirements (no vaccination, pet passport or health certificate), but import permission was requested and granted under condition of vaccination and quarantine at owner's house in Germany; dog died in quarantine in Hannover","Owned, unvaccinated 8-month-old; imported from Morocco without complete travel requirements (no vaccination, pet passport or health certificate), but import permission was requested and granted under condition of vaccination and quarantine at owner's house in Germany; dog died in quarantine in Hannover",Imported without complete travel requirements; died in quarantine ,"Owned, unvaccinated 8-month-old; imported without complete travel requirements (no vaccination, pet passport or health certificate), but import permission was requested and granted under condition of vaccination and quarantine at owner's house in Germany; dog died in quarantine in Hannover",No,"PEP, contact tracing, sacrifice of associated animals with confirmed direct exposure (cat), vaccination of associated animals (dogs)",No local transmission,No,52,"Johnson et al., 2011 (15); Ribadeau-Dumas, 2016 (50); Alvarez et al., 2022 (51)"
Europe,Germany,Jan-05,2005,January,Fox,,,,,,Europe,Germany,,Natural,In-country,By land,Incursion from Hesse to Rhineland-Palatinate after ORV preventive vaccination cordon,Incursion from Hesse to Rhineland-Palatinate after ORV preventive vaccination cordon,Incursion after ORV preventive vaccination cordon,Incursion from Hesse to Rhineland-Palatinate after ORV preventive vaccination cordon,No,"ORV (changed from baits to aerial, at 6-week intervals instead of every autumn)",No local transmission,No,53,"Selhorst et al., 2012 (71); Cliquet and Wasniewski, 2018 (28)"
Europe,Spain,2005,2005,,Dog,Owned,,,,,Africa,Morocco,,Human-mediated,Intercontinental (shared border),By land,"Imported from Morocco to Melilla, Spain","Owned; imported from Morocco to Melilla, Spain",,"Owned; imported to Melilla, Spain",No,,No local transmission,No,54,"European Food Safety Authority, 2007 (72)"
Europe,France,Oct-07,2007,October,Dog,"Owned, recently vaccinated adult",Owned,Recently vaccinated,Adult,,Africa,Morocco (via Portugal and Spain),15 days,Human-mediated,"Intercontinental, International (shared border)","By water, land","Imported from Morocco despite visible injuries and short duration between rabies vaccination and travel; brought by owner to beach in Portugal, then passed Spain on the way to Grandpuits, Seine-et-Marne, Hautes-Pyrénées, Ger, France; In direct contact with 1 dog, which later associated with 1 other dog; resulted in secondary transmission to 1 dog, with France losing rabies-free status for 2 years","Owned, recently vaccinated adult; imported from Morocco despite visible injuries and short duration between rabies vaccination and travel; brought by owner to beach in Portugal, then passed Spain on the way to Grandpuits, Seine-et-Marne, Hautes-Pyrénées, Ger, France; In direct contact with 1 dog, which later associated with 1 other dog; resulted in secondary transmission to 1 dog, with France losing rabies-free status for 2 years","Recently vaccinated before importation with visible injuries; had direct contact with 1 dog, leading to secondary transmission to 1 dog, with France losing rabies-free status for 2 years","Owned, recently vaccinated adult; imported despite visible injuries and short duration between rabies vaccination and travel; brought by owner to beach in Portugal, then passed Spain on the way to Grandpuits, Seine-et-Marne, Hautes-Pyrénées, Ger, France; In direct contact with 1 dog, which later associated with 1 other dog; resulted in secondary transmission to 1 dog, with France losing rabies-free status for 2 years",No,"Contact tracing, PEP",Secondary transmission,No,55,"Eurosurveillance, 2008 (73); Gautret et al., 2011 (74); Johnson et al., 2011 (15); Ribadeau-Dumas, 2016 (50); Yamada et al., 2019 (75); Alvarez et al., 2022 (51) "
Europe,Belgium,Oct-07,2007,October,Dog,"Owned (newly adopted), unvaccinated 1-month-old puppy",Owned,Unvaccinated,3 months and below,,Africa,Morocco,1 month,Human-mediated,Intercontinental,By air/water (presumed),"Adopted by owner while on vacation in Morocco and imported to Beersel, Brussels, Belgium; checked by Morocco veterinarian and cleared for importation despite not fulfilling rabies vaccination and serology requirements; owners not informed of pet passport, resulting in smuggling of dog on plane in handbag; no border control measures observed; checked by 2nd veterinarian in Belgium but not vaccinated for rabies; brought to dog park; resulted in Belgium losing rabies-free status for 6 months","Owned (newly adopted), unvaccinated 1-month-old puppy; adopted by owner while on vacation in Morocco and imported to Beersel, Brussels, Belgium; checked by Morocco veterinarian and cleared for importation despite not fulfilling rabies vaccination and serology requirements; owners not informed of pet passport, resulting in smuggling of dog on plane in handbag; no border control measures observed; checked by 2nd veterinarian in Belgium but not vaccinated for rabies; brought to dog park; resulted in Belgium losing rabies-free status for 6 months",Adopted by owner while on vacation in Morocco; cleared for importation despite not fulfilling rabies vaccination and serology requirements; brought to dog park; resulted in Belgium losing rabies-free status for 6 months,"Owned (newly adopted), unvaccinated 1-month-old puppy; adopted by owner while on vacation in Morocco and imported to Beersel, Brussels, Belgium; checked by Morocco veterinarian and cleared for importation despite not fulfilling rabies vaccination and serology requirements; owners not informed of pet passport, resulting in smuggling of dog on plane in handbag; no border control measures observed; checked by 2nd veterinarian in Belgium but not vaccinated for rabies; brought to dog park; resulted in Belgium losing rabies-free status for 6 months",No,"Contact tracing, PEP, 6-month quarantine (visitor dogs at dog park), sacrifice of associated pets, recommended pet vaccination, enhanced surveillance, restrictions, active fox surveillance, mandatory dog leashing",No local transmission,No,56,"European Food Safety Authority, 2007 (72); Van Gucht and Le Roux , 2008 (76); Ehnert & Galland, 2009 (4); Johnson et al., 2011 (15); Ribadeau-Dumas, 2016 (50); Alvarez et al., 2022 (51)"
Europe,Kosovo,Oct-07,2007,October,Fox,2 foxes,,,,,Europe,Republic of North Macedonia,,Natural,International (shared border),By land,"Incursion from Republic of North Macedonia into Štrpca, Kosovo; 1 fox found near police station, 1 fox found near holding","Incursion from Republic of North Macedonia into Štrpca, Kosovo; 1 fox found near police station, 1 fox found near holding",,"Incursion into Štrpca, Kosovo; 1 fox found near police station, 1 fox found near holding",No,,No local transmission,No,57,"Muji et al., 2012 (77) "
Europe,Germany,2007,2007,,Dog,Owned,Owned,,,,Africa,Morocco,,Human-mediated,Intercontinental,By air/water (presumed),Illegally imported from Morocco to Germany,Owned; illegally imported from Morocco to Germany,Illegally imported,Owned; illegally imported,No,,No local transmission,No,58,"Ehnert & Galland, 2009 (4)"
Europe,Finland,2007,2007,,Dog,"Owned, formerly free-roaming, recently vaccinated puppy born to stray dog",Owned,Recently vaccinated,3 months and below,,Asia,India,<1 month,Human-mediated,Intercontinental,By air,Rescued from streets in India while attacked by stray dog; vaccinated <30 days before importation to Finland,"Owned, formerly free-roaming, recently vaccinated puppy born to stray dog; rescued from streets in India while attacked by stray dog; vaccinated <30 days before importation to Finland",Adopted from streets while attacked by stray dog and vaccinated shortly before importation,"Owned, formerly free-roaming, recently vaccinated puppy born to stray dog; rescued from streets in India while attacked by stray dog; vaccinated <30 days before importation to Finland",No,PEP,No local transmission,No,59,"European Food Safety Authority, 2009; Johnson et al., 2011 (15);  Zoonoosikeskus (Zoonoses Centre), 2012 (67); Väyrynen, 2020 (78)"
Europe,France,Apr-08,2008,April,Dog,"Owned (newly adopted), microchipped, vaccinated 6-month-old",Owned,Vaccinated,Juvenile,,Africa,Gambia (via Senegal and Belgium),2 weeks,Human-mediated,"Intercontinental, International (shared border)","By air, land","Adopted in Gambia; fulfilled all travel requirements except serology; wounded but given health certificate; imported to Uccle, Belgium, brought into passenger cabin of plane; driven to France","Owned (newly adopted), microchipped, vaccinated 6-month-old; adopted in Gambia; fulfilled all travel requirements for except serology; wounded but given health certificate; imported to Uccle, Belgium, brought into passenger cabin of plane; driven to France",Fulfilled all travel requirements except serology; newly adopted and visibly wounded but given health certificate; brought into passenger cabin of plane,"Owned (newly adopted), microchipped, vaccinated 6-month-old; adopted in Gambia; fulfilled all travel requirements except serology; wounded but given health certificate; imported to Uccle, Belgium, brought into passenger cabin of plane; driven to France",No,"Contact tracing, PEP, 6-month quarantine of exposed animals (cats)",No local transmission,No,60,"Eurosurveillance, 2008 (79); Roux and Gucht, 2008 (80); European Food Safety Authority, 2010 (81);  Ribadeau-Dumas, 2016 (50); Cliquet and Wasniewski, 2018 (28); Alvarez et al., 2022 (51)"
Europe,United Kingdom,Apr-08,2008,April,Dog,"Owned, vaccinated 10-week-old puppy",Owned,Vaccinated,3 months and below,,Asia,Sri Lanka,6 days,Human-mediated,Intercontinental,By air,"Imported from Sri Lanka by rescue group along with >10 animals despite not meeting minimum age requirement for travel; quarantined in Chingford Kennels, Heathrow, London where symptoms manifested","Owned, vaccinated 10-week-old puppy; imported from Sri Lanka by rescue group along with >10 animals despite not meeting minimum age requirement for travel; quarantined in Chingford Kennels, Heathrow, London where symptoms manifested",Vaccinated; imported by rescue group along with >10 animals despite not meeting minimum age requirement for travel; symptoms manifested while in quarantine,"Owned, vaccinated 10-week-old puppy; imported by rescue group along with >10 animals despite not meeting minimum age requirement for travel; quarantined in Chingford Kennels, Heathrow, London where symptoms manifested",No,"Contact tracing, PEP, sacrifice of associated animals (nearby dogs at quarantine center)",No local transmission,No,61,"Catchpole et al., 2008 (82); Fooks et al., 2008 (83); Goddard et al., 2008 (84); Health Protection Agency, 2008 (85); WHO Collaborating Centre for Rabies Surveillance & Research, 2009 (86);  European Food Safety Authority, 2010 (81); Johnson et al., 2011 (15); Johnson et al., 2011 (87); Fooks and Johnson, 2015 (88); Ribadeau-Dumas, 2016 (50); Alvarez et al., 2022 (51)"
Europe,Germany,Jun-08,2008,June,Dog,"Owned, unvaccinated 6-week-old puppy ",Owned,Unvaccinated,3 months and below,,Europe,Croatia,6 months,Human-mediated,International,By land,"Illegally imported from Croatia to animal shelter in Lörrach, Baden-Württemberg, Germany without vaccination certificate; no border control measures reported at EU border ","Owned, unvaccinated 6-week-old puppy; illegally imported from Croatia to animal shelter in Lörrach, Baden-Württemberg, Germany without vaccination certificate; no border control measures reported at EU border ",Illegally imported to animal shelter without vaccination certificate; no border control measures reported at EU border ,"Owned, unvaccinated 6-week-old puppy; illegally imported to animal shelter in Lörrach, Baden-Württemberg, Germany without vaccination certificate; no border control measures reported at EU border ",No,"Contact tracing, PEP, quarantine of exposed animals",No local transmission,No,62,"Johnson et al., 2011 (15); Weiss et al., 2009 (89);  European Food Safety Authority, 2010 (81);  Ribadeau-Dumas, 2016 (50); Alvarez et al., 2022 (51)"
Europe,France,Oct-08,2008,October,Dog,Owned (newly adopted),Owned,,,,Europe,Spain,1 month,Human-mediated,International,By land,"Found in car park in Malaga, Spain; transported by owner to Saint André-le-Gaz, France by car","Owned (newly adopted); found in car park in Malaga, Spain; transported by owner to Saint André-le-Gaz, France by car",Found in car park and adopted,"Owned (newly adopted); found in car park in Malaga, Spain; transported by owner to Saint André-le-Gaz, France by car",No,Contact tracing,No local transmission,No,63,"Johnson et al., 2011 (15);"
Europe,Italy,Oct-08,2008,October,Red fox,2 red foxes,,,,,Europe,Slovenia,,Natural,International (shared border),By land,"Incursion from Slovenia into Venzone, Udine; 1 fox bit 1 human, and caused rabies spread to other regions; ORV not maintained during that period","Incursion into Venzone, Udine, Italy; 1 fox bit 1 human, and caused rabies spread to other regions; ORV not maintained during that period","1 fox bit 1 human, and caused rabies spread to other regions; ORV not maintained during that period","Incursion into Venzone, Udine, Italy; 1 fox bit 1 human, and caused rabies spread to other regions; ORV not maintained during that period",No,"PEP, ORV (Emergency)",Outbreak,No,64,"De Benedictis et al., 2008 (90); Fusaro et al., 2013 (91); Berg et al, 2015 (92); Rupprecht et al., 2020 (31); Kumar et al., 2021 (93); Lojkić et al., 2021 (94)"
Europe,Italy,Nov-08,2008,November,Fox,,,,,,Europe,Italy,,Natural,In-country,By land,"Continued incursion from Italy into Belluno, Venzone Province following Udine incursion from Slovenia; caused rabies spread to other regions","Continued incursion from Italy into Belluno, Venzone Province following Udine incursion from Slovenia; caused rabies spread to other regions","Continued incursion into Belluno, Venzone Province following incursion from Slovenia; caused rabies spread to other regions","Continued incursion from Italy into Belluno, Venzone Province following Udine incursion from Slovenia; caused rabies spread to other regions",No,"PEP, ORV (Emergency)",Outbreak,No,65,"Fusaro et al., 2013 (91); Berg et al, 2015 (92); Rupprecht et al., 2020 (31); Kumar et al., 2021 (93); Lojkić et al., 2021 (94)"
Europe,France,2008,2008,,Dog,"Owned, recently adopted, unvaccinated 3-month-old puppy ",Owned,Unvaccinated,3 months and below,,Europe,Spain,18 days,Human-mediated,International (shared border),"By land, air/water (presumed)","Found on highway in Spain and illegally imported to Isère, France; suspected incursion from Morocco indicated by phylogenetic analysis","Owned, recently adopted, unvaccinated 3-month-old puppy; found on highway in Spain and illegally imported to Isère, France; suspected incursion from Morocco indicated by phylogenetic analysis",Found on highway and recently adopted; ilegally imported without vaccination ,"Owned, recently adopted, unvaccinated 3-month-old puppy; found on highway in Spain and illegally imported to Isère, France; suspected incursion from Morocco indicated by phylogenetic analysis",Yes,PEP,No local transmission,No,66,"Mailles et al., 2011 (62); Alvarez et al., 2022 (51)"
Europe,Germany,2009,2009,,Dog,"Owned, juvenile ",Owned,,Juvenile,,Europe,Croatia,,Human-mediated,International,By land,Imported from Croatia to Germany; no border control measures reported,"Owned, juvenile; imported from Croatia to Germany; no border control measures reported",Imported; no border control measures reported,"Owned, juvenile; imported; no border control measures reported",No,,No local transmission,No,67,"Tietjen et al., 2011 (95)"
Europe,France,2009,2009,,Dog,Owned,Owned,,,,Asia,Afghanistan,,Human-mediated,Intercontinental,By air,Imported from Afghanistan to France ,Owned; imported from Afghanistan to France ,Imported,Owned; imported,No,,No local transmission,No,68,"WHO Collaborating Centre for Rabies Surveillance & Research, 2009 (96); Johnson et al., 2011 (15)"
Europe,Germany,Feb-10,2010,February,Dog,"Owned (newly bought), unvaccinated, 2-month-old puppy ",Owned,Unvaccinated,3 months and below,,Europe,Bosnia and Herzegovina (via Slovenia),22 days,Human-mediated,International (shared border),By land,"Imported from Bosnia and Herzegovina to Neustadt an der Aisch, Bavaria, Germany; incomplete travel documents (no record of rabies vaccination) but allowed through border control; history of biting by aggressive dog","Owned (newly bought), unvaccinated, 2-month-old puppy; imported from Bosnia and Herzegovina to Neustadt an der Aisch, Bavaria, Germany; incomplete travel documents (no record of rabies vaccination) but allowed through border control; history of biting by aggressive dog",Newly bought before importation with incomplete travel documents (no record of rabies vaccination) but allowed through border control; history of biting by aggressive dog,"Owned (newly bought), unvaccinated, 2-month-old puppy; imported to Neustadt an der Aisch, Bavaria, Germany; incomplete travel documents (no record of rabies vaccination) but allowed through border control; history of biting by aggressive dog",No,"Contact tracing, PEP, destroyed associated animals (unvaccinated cats)",No local transmission,No,69,"Eismann et al., 2011 (97); Johnson et al., 2011 (15);  European Food Safety Authority and European Centre for Disease Prevention and Control, 2012 (98); Ribadeau-Dumas, 2016 (50); Alvarez et al., 2022 (51)"
Europe,Poland,2010,2010,,Fox,13 foxes,,,,,Europe,Belarus or Ukraine,,Natural,International (shared border),By land,"Incursion into Rzeszow, Poland","Incursion into Rzeszow, Poland",Incursion into Rzeszow,"Incursion into Rzeszow, Poland",No,ORV,No local transmission,No,70,"Smreczak et al., 2012 (99)"
Europe,Poland,2010,2010,,Fox,12 foxes,,,,,Europe,Belarus or Ukraine,,Natural,International (shared border),By land,"Incursion into Lublin, Poland","Incursion into Lublin, Poland",Incursion into Lublin,"Incursion into Lublin, Poland",No,ORV,No local transmission,No,71,"Smreczak et al., 2012 (99)"
Europe,Poland,2010,2010,,Fox,,,,,,Europe,Russia or Ukraine,,Natural,International (shared border),By land,"Incursion into Malopolskie region, Poland; caused outbreak, resulting from weak surveillance (minimal sample collection)","Incursion into Malopolskie region, Poland; caused outbreak, resulting from weak surveillance (minimal sample collection)","Incursion into Malopolskie region; caused outbreak, resulting from weak surveillance (minimal sample collection)","Incursion into Malopolskie region, Poland; caused outbreak, resulting from weak surveillance (minimal sample collection)",No,ORV (maintained),Outbreak,No,72,"Berg et al, 2015 (92); Ortiz et al., 2018 (100)"
Europe,France,Jul-11,2011,July,Dog,"Owned (newly adopted) unvaccinated, 3-month-old puppy",Owned,Unvaccinated,3 months and below,,Africa,Morocco (via Spain),4 days,Human-mediated,"Intercontinental, International (shared border)","By water, land","Illegally imported from Morocco to Vendée, France; did not fulfil all travel requirements (underage, unvaccinated, not microchipped, no travel certificate)","Owned (newly adopted) unvaccinated, 3-month-old puppy; Illegally imported from Morocco to Vendée, France; did not fulfil all travel requirements (underage, unvaccinated, not microchipped, no travel certificate)","Newly adopted; illegally imported without fulfilling all travel requirements (underage, unvaccinated, not microchipped, no travel certificate)","Owned (newly adopted) unvaccinated, 3-month-old puppy; Illegally imported to Vendée, France; did not fulfil all travel requirements (underage, unvaccinated, not microchipped, no travel certificate)",No,"Contact tracing, PEP, (booster) vaccination of exposed animals (dogs), sacrifice of associated animals (cats)",No local transmission,No,73,"Mailles et al., 2011 (62); Roberts and Lopez, 2011 (101);  European Food Safety Authority and European Centre for Disease Prevention and Control, 2013 (102); Alvarez et al., 2022 (51)"
Europe,Norway,2011,2011,,Arctic fox,,,,,,Europe,Norway,,Natural,In-country,By water (frozen),"Incursion from Svalbard mainland into Hopen Island by crossing frozen sea ice during winter; attacked 4 dogs at Hopen Metereological Station, killed by dog","Incursion from Svalbard mainland into Hopen Island by crossing frozen sea ice during winter; attacked 4 dogs at Hopen Metereological Station, killed by dog",Incursion from Svalbard mainland into Hopen Island by crossing frozen sea ice during winter; fought 4 dogs and was killed,"Incursion from Svalbard mainland into Hopen Island by crossing frozen sea ice during winter; attacked 4 dogs at Hopen Metereological Station, killed by dog",No,(Booster) vaccination of exposed animals (dogs),No local transmission,No,74,"Roberts et al., 2011 (103)"
Europe,Croatia,2011,2011,,Cow,"Owned, unvaccinated",Owned,Unvaccinated,,,Europe,Romania,8 months,Human-mediated,International,By land,"One of 1,000 cows imported from Brasov, Romania to Osje ko-Baranjska county, Croatia with valid documents (health certificates) but no rabies vaccination required; 6 bulls exhibited symptoms","Owned, unvaccinated; one of 1,000 cows imported from Brasov, Romania to Osje ko-Baranjska county, Croatia with valid documents (health certificates) but no rabies vaccination required; 6 bulls exhibited symptoms","One of 1,000 unvaccinated cows imported with valid documents (health certificates) but no rabies vaccination required; 6 bulls exhibited symptoms","Owned, unvaccinated; one of 1,000 cows imported from Brasov, Romania to Osje ko-Baranjska county, Croatia with valid documents (health certificates) but no rabies vaccination required; 6 bulls exhibited symptoms",No,Sacrifice of associated animals (bulls in same box),No local transmission,No,75,"Lojkić et al., 2013 (104) "
Europe,Norway,2011,2011,,Arctic fox,,,,,,Europe,Russia,,Natural,International,By water (frozen),"Incursion from Russia into Svalbard, Norway by crossing frozen sea ice","Incursion from Russia into Svalbard, Norway by crossing frozen sea ice",Incursion into Svalbard by crossing frozen sea ice,"Incursion into Svalbard, Norway by crossing frozen sea ice",No,,No local transmission,No,76,"Simon et al., 2021 (105); Hueffer, 2022 (106)"
Europe,Poland,2011,2011,,Fox,,,,,,Europe,Russia,,Natural,International,By land,"Incursion from Kaliningrad Oblast, Russia into Warminsko-Mazurskie, Poland","Incursion from Kaliningrad Oblast, Russia into Warminsko-Mazurskie, Poland",,"Incursion from Kaliningrad Oblast, Russia into Warminsko-Mazurskie, Poland",No,ORV (intensified),No local transmission,No,77,"Berg et al, 2015 (92)"
